INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../utils.cpp in debug mode
   Generating csim.exe
Beginning HLS  simulation...
simulation complete!

Output feature[1]: Expected: -0.806562	Actual: -0.806562
Output feature[81]: Expected: -0.496172	Actual: -0.496172
Output feature[161]: Expected: -0.856257	Actual: -0.856257
Output feature[241]: Expected: -0.438382	Actual: -0.438382
Output feature[321]: Expected: 0.216641	Actual: 0.216641
Output feature[401]: Expected: -0.49791	Actual: -0.49791
Output feature[481]: Expected: 0.104341	Actual: 0.104341
Output feature[561]: Expected: -0.764289	Actual: -0.764289
Output feature[641]: Expected: -0.778464	Actual: -0.778464
Output feature[721]: Expected: 0.399269	Actual: 0.399269
Output feature[801]: Expected: -1.17358	Actual: -1.17358
Output feature[881]: Expected: -0.505497	Actual: -0.505497
Output feature[961]: Expected: -0.184555	Actual: -0.184555
Output feature[1041]: Expected: -0.913495	Actual: -0.913495
Output feature[1121]: Expected: 0.0319058	Actual: 0.0319058
Output feature[1201]: Expected: 0.0387071	Actual: 0.0387071
Output feature[1281]: Expected: -1.00653	Actual: -1.00653
Output feature[1361]: Expected: -0.762782	Actual: -0.762782
Output feature[1441]: Expected: -0.249039	Actual: -0.249038
Output feature[1521]: Expected: -0.490623	Actual: -0.490623
Output feature[1601]: Expected: -0.144471	Actual: -0.144471
Output feature[1681]: Expected: -0.0754042	Actual: -0.0754042
Output feature[1761]: Expected: -0.502075	Actual: -0.502075
Output feature[1841]: Expected: -0.743006	Actual: -0.743006
Output feature[1921]: Expected: 0.525926	Actual: 0.525926
Output feature[2001]: Expected: -0.722321	Actual: -0.722321
Output feature[2081]: Expected: -0.108422	Actual: -0.108422
Output feature[2161]: Expected: -0.0126594	Actual: -0.0126594
Output feature[2241]: Expected: -0.689864	Actual: -0.689864
Output feature[2321]: Expected: 0.368121	Actual: 0.368121
Output feature[2401]: Expected: -0.901904	Actual: -0.901904
Output feature[2481]: Expected: -0.736476	Actual: -0.736476
Output feature[2561]: Expected: -0.501331	Actual: -0.501331
Output feature[2641]: Expected: -0.943322	Actual: -0.943322
Output feature[2721]: Expected: -0.0843254	Actual: -0.0843253
Output feature[2801]: Expected: -0.275921	Actual: -0.275921
Output feature[2881]: Expected: -0.318779	Actual: -0.318779
Output feature[2961]: Expected: -0.108542	Actual: -0.108542
Output feature[3041]: Expected: -0.521714	Actual: -0.521713
Output feature[3121]: Expected: -0.98569	Actual: -0.98569
Output feature[3201]: Expected: -0.430895	Actual: -0.430895
Output feature[3281]: Expected: 0.185782	Actual: 0.185782
Output feature[3361]: Expected: -0.22739	Actual: -0.22739
Output feature[3441]: Expected: -0.523239	Actual: -0.523239
Output feature[3521]: Expected: -0.312333	Actual: -0.312333
Output feature[3601]: Expected: -0.107095	Actual: -0.107095
Output feature[3681]: Expected: -0.0918377	Actual: -0.0918376
Output feature[3761]: Expected: -0.442296	Actual: -0.442295
Output feature[3841]: Expected: -0.546738	Actual: -0.546738
Output feature[3921]: Expected: -1.04218	Actual: -1.04218
Output feature[4001]: Expected: -0.403889	Actual: -0.403889
Output feature[4081]: Expected: -0.300148	Actual: -0.300148
Output feature[4161]: Expected: 0.321739	Actual: 0.321739
Output feature[4241]: Expected: 0.0378293	Actual: 0.0378293
Output feature[4321]: Expected: -0.324923	Actual: -0.324923
Output feature[4401]: Expected: -0.414005	Actual: -0.414005
Output feature[4481]: Expected: -0.777334	Actual: -0.777334
Output feature[4561]: Expected: -1.13277	Actual: -1.13277
Output feature[4641]: Expected: -0.393378	Actual: -0.393378
Output feature[4721]: Expected: -0.125455	Actual: -0.125455
Output feature[4801]: Expected: -0.270873	Actual: -0.270873
Output feature[4881]: Expected: -0.232909	Actual: -0.232909
Output feature[4961]: Expected: -0.306901	Actual: -0.306901
Output feature[5041]: Expected: -0.725687	Actual: -0.725687
Output feature[5121]: Expected: -0.0179111	Actual: -0.0179111
Output feature[5201]: Expected: -0.730319	Actual: -0.730319
Output feature[5281]: Expected: -0.511234	Actual: -0.511234
Output feature[5361]: Expected: 0.161278	Actual: 0.161278
Output feature[5441]: Expected: -1.21393	Actual: -1.21393
Output feature[5521]: Expected: -0.723874	Actual: -0.723874
Output feature[5601]: Expected: -0.516375	Actual: -0.516375
Output feature[5681]: Expected: -0.567449	Actual: -0.567449
Output feature[5761]: Expected: -0.381203	Actual: -0.381203
Output feature[5841]: Expected: -0.1805	Actual: -0.180499
Output feature[5921]: Expected: -0.202246	Actual: -0.202246
Output feature[6001]: Expected: -0.605299	Actual: -0.605299
Output feature[6081]: Expected: -0.250692	Actual: -0.250692
Output feature[6161]: Expected: -0.693821	Actual: -0.693821
Output feature[6241]: Expected: -0.201255	Actual: -0.201255
Output feature[6321]: Expected: -0.916413	Actual: -0.916413
Output feature[6401]: Expected: -0.745249	Actual: -0.745249
Output feature[6481]: Expected: -0.618074	Actual: -0.618074
Output feature[6561]: Expected: -0.434593	Actual: -0.434593
Output feature[6641]: Expected: -0.258137	Actual: -0.258137
Output feature[6721]: Expected: -0.0354971	Actual: -0.0354971
Output feature[6801]: Expected: 0.344376	Actual: 0.344376
Output feature[6881]: Expected: -0.783489	Actual: -0.783489
Output feature[6961]: Expected: -0.333021	Actual: -0.333021
Output feature[7041]: Expected: -0.572379	Actual: -0.572379
Output feature[7121]: Expected: -0.703024	Actual: -0.703024
Output feature[7201]: Expected: 0.21652	Actual: 0.21652
Output feature[7281]: Expected: -0.489208	Actual: -0.489208
Output feature[7361]: Expected: 0.104099	Actual: 0.104099
Output feature[7441]: Expected: -1.09041	Actual: -1.09041
Output feature[7521]: Expected: 0.0059188	Actual: 0.00591877
Output feature[7601]: Expected: -0.297463	Actual: -0.297463
Output feature[7681]: Expected: -1.09509	Actual: -1.09509
Output feature[7761]: Expected: -0.0496534	Actual: -0.0496536
Output feature[7841]: Expected: -0.377512	Actual: -0.377512
Output feature[7921]: Expected: -0.617782	Actual: -0.617782
Output feature[8001]: Expected: 0.0988814	Actual: 0.0988814
Output feature[8081]: Expected: -1.20658	Actual: -1.20658
Output feature[8161]: Expected: -0.449419	Actual: -0.449419
Output feature[8241]: Expected: -0.522778	Actual: -0.522778
Output feature[8321]: Expected: -0.696068	Actual: -0.696068
Output feature[8401]: Expected: 0.0588916	Actual: 0.0588917
Output feature[8481]: Expected: -0.454995	Actual: -0.454995
Output feature[8561]: Expected: -0.197138	Actual: -0.197138
Output feature[8641]: Expected: -0.133169	Actual: -0.133168
Output feature[8721]: Expected: -0.928624	Actual: -0.928624
Output feature[8801]: Expected: -1.14684	Actual: -1.14684
Output feature[8881]: Expected: -0.375037	Actual: -0.375037
Output feature[8961]: Expected: -0.330091	Actual: -0.330091
Output feature[9041]: Expected: 0.410873	Actual: 0.410873
Output feature[9121]: Expected: 0.153756	Actual: 0.153756
Output feature[9201]: Expected: -0.776536	Actual: -0.776536
Output feature[9281]: Expected: -0.179031	Actual: -0.179031
Output feature[9361]: Expected: -1.41694	Actual: -1.41694
Output feature[9441]: Expected: -1.08583	Actual: -1.08583
Output feature[9521]: Expected: -0.578105	Actual: -0.578105
Output feature[9601]: Expected: -0.0684206	Actual: -0.0684206
Output feature[9681]: Expected: -0.410282	Actual: -0.410282
Output feature[9761]: Expected: 0.239845	Actual: 0.239845
Output feature[9841]: Expected: -0.400098	Actual: -0.400098
Output feature[9921]: Expected: -0.974646	Actual: -0.974646
Output feature[10001]: Expected: -0.552936	Actual: -0.552936
Output feature[10081]: Expected: -1.45243	Actual: -1.45243
Output feature[10161]: Expected: -0.827643	Actual: -0.827643
Output feature[10241]: Expected: 0.103948	Actual: 0.103948
Output feature[10321]: Expected: -0.317129	Actual: -0.317129
Output feature[10401]: Expected: 0.330174	Actual: 0.330174
Output feature[10481]: Expected: -0.00458768	Actual: -0.00458768
Output feature[10561]: Expected: -0.124999	Actual: -0.124999
Output feature[10641]: Expected: -0.642792	Actual: -0.642792
Output feature[10721]: Expected: -1.23683	Actual: -1.23683
Output feature[10801]: Expected: -0.50378	Actual: -0.50378
Output feature[10881]: Expected: -0.923557	Actual: -0.923557
Output feature[10961]: Expected: -0.277658	Actual: -0.277658
Output feature[11041]: Expected: 0.252342	Actual: 0.252342
Output feature[11121]: Expected: 0.090518	Actual: 0.0905181
Output feature[11201]: Expected: 0.310195	Actual: 0.310195
Output feature[11281]: Expected: 0.0808478	Actual: 0.0808479
Output feature[11361]: Expected: -0.777478	Actual: -0.777478
Output feature[11441]: Expected: -0.435865	Actual: -0.435865
Output feature[11521]: Expected: -0.947328	Actual: -0.947328
Output feature[11601]: Expected: -0.474575	Actual: -0.474575
Output feature[11681]: Expected: -0.113017	Actual: -0.113017
Output feature[11761]: Expected: -0.171757	Actual: -0.171757
Output feature[11841]: Expected: -0.518791	Actual: -0.518791
Output feature[11921]: Expected: -0.522149	Actual: -0.522149
Output feature[12001]: Expected: -0.396417	Actual: -0.396417
Output feature[12081]: Expected: -0.783774	Actual: -0.783774
Output feature[12161]: Expected: -0.654714	Actual: -0.654714
Output feature[12241]: Expected: -0.246093	Actual: -0.246093
Output feature[12321]: Expected: -0.521729	Actual: -0.521729
Output feature[12401]: Expected: -0.0845389	Actual: -0.0845389
Output feature[12481]: Expected: -0.575327	Actual: -0.575327
Output feature[12561]: Expected: -0.365355	Actual: -0.365355
Output feature[12641]: Expected: -0.808196	Actual: -0.808196
Output feature[12721]: Expected: -0.769551	Actual: -0.769552
Output feature[12801]: Expected: -1.48314	Actual: -1.48314
Output feature[12881]: Expected: -1.67416	Actual: -1.67416
Output feature[12961]: Expected: 0.168644	Actual: 0.168644
Output feature[13041]: Expected: -0.30105	Actual: -0.301051
Output feature[13121]: Expected: -0.465374	Actual: -0.465374
Output feature[13201]: Expected: 0.254115	Actual: 0.254115
Output feature[13281]: Expected: -0.891829	Actual: -0.891829
Output feature[13361]: Expected: 0.384336	Actual: 0.384336
Output feature[13441]: Expected: -0.793818	Actual: -0.793818
Output feature[13521]: Expected: -0.609086	Actual: -0.609086
Output feature[13601]: Expected: 0.506216	Actual: 0.506217
Output feature[13681]: Expected: -0.714369	Actual: -0.714369
Output feature[13761]: Expected: -0.619197	Actual: -0.619197
Output feature[13841]: Expected: -0.446017	Actual: -0.446017
Output feature[13921]: Expected: -0.797051	Actual: -0.797051
Output feature[14001]: Expected: 0.440552	Actual: 0.440552
Output feature[14081]: Expected: -0.630737	Actual: -0.630737
Output feature[14161]: Expected: -0.0661811	Actual: -0.0661811
Output feature[14241]: Expected: -0.545837	Actual: -0.545837
Output feature[14321]: Expected: -0.978461	Actual: -0.978461
Output feature[14401]: Expected: -0.276895	Actual: -0.276895
Output feature[14481]: Expected: -0.707901	Actual: -0.707901
Output feature[14561]: Expected: -0.240925	Actual: -0.240925
Output feature[14641]: Expected: -0.303723	Actual: -0.303723
Output feature[14721]: Expected: -0.519768	Actual: -0.519768
Output feature[14801]: Expected: 0.293455	Actual: 0.293455
Output feature[14881]: Expected: -0.682895	Actual: -0.682895
Output feature[14961]: Expected: -0.561987	Actual: -0.561987
Output feature[15041]: Expected: -0.25538	Actual: -0.25538
Output feature[15121]: Expected: -0.934261	Actual: -0.934261
Output feature[15201]: Expected: -0.932667	Actual: -0.932667
Output feature[15281]: Expected: 0.121648	Actual: 0.121648
Output feature[15361]: Expected: -0.281591	Actual: -0.281591
Output feature[15441]: Expected: -0.103359	Actual: -0.103359
Output feature[15521]: Expected: -0.323978	Actual: -0.323978
Output feature[15601]: Expected: 0.0643196	Actual: 0.0643196
Output feature[15681]: Expected: -0.505466	Actual: -0.505466
Output feature[15761]: Expected: -0.499794	Actual: -0.499794
Output feature[15841]: Expected: 0.039114	Actual: 0.0391139
Output feature[15921]: Expected: -0.987621	Actual: -0.987621
Output feature[16001]: Expected: -0.141539	Actual: -0.141539
Output feature[16081]: Expected: -0.05376	Actual: -0.05376
Output feature[16161]: Expected: -0.385169	Actual: -0.385169
Output feature[16241]: Expected: 0.10776	Actual: 0.10776
Output feature[16321]: Expected: -0.370768	Actual: -0.370768
Output feature[16401]: Expected: -0.78554	Actual: -0.78554
Output feature[16481]: Expected: -0.844265	Actual: -0.844265
Output feature[16561]: Expected: -0.497597	Actual: -0.497597
Output feature[16641]: Expected: -0.54703	Actual: -0.54703
Output feature[16721]: Expected: 0.290674	Actual: 0.290674
Output feature[16801]: Expected: -0.205046	Actual: -0.205046
Output feature[16881]: Expected: -0.664453	Actual: -0.664453
Output feature[16961]: Expected: -0.492668	Actual: -0.492668
Output feature[17041]: Expected: -0.91514	Actual: -0.91514
Output feature[17121]: Expected: -0.43114	Actual: -0.43114
Output feature[17201]: Expected: 0.470248	Actual: 0.470248
Output feature[17281]: Expected: -0.357623	Actual: -0.357623
Output feature[17361]: Expected: -0.93851	Actual: -0.93851
Output feature[17441]: Expected: 0.117568	Actual: 0.117568
Output feature[17521]: Expected: -1.07102	Actual: -1.07102
Output feature[17601]: Expected: -0.393636	Actual: -0.393636
Output feature[17681]: Expected: -0.415921	Actual: -0.415921
Output feature[17761]: Expected: -0.616195	Actual: -0.616195
Output feature[17841]: Expected: -0.42472	Actual: -0.42472
Output feature[17921]: Expected: -1.04527	Actual: -1.04527
Output feature[18001]: Expected: -0.462256	Actual: -0.462256
Output feature[18081]: Expected: -0.634176	Actual: -0.634176
Output feature[18161]: Expected: -0.582969	Actual: -0.582969
Output feature[18241]: Expected: -0.382388	Actual: -0.382388
Output feature[18321]: Expected: -0.160757	Actual: -0.160757
Output feature[18401]: Expected: -0.299792	Actual: -0.299792
Output feature[18481]: Expected: -1.33686	Actual: -1.33686
Output feature[18561]: Expected: 0.321422	Actual: 0.321422
Output feature[18641]: Expected: -1.03788	Actual: -1.03788
Output feature[18721]: Expected: -1.20691	Actual: -1.20691
Output feature[18801]: Expected: 0.548643	Actual: 0.548643
Output feature[18881]: Expected: -1.0984	Actual: -1.0984
Output feature[18961]: Expected: -0.29915	Actual: -0.29915
Output feature[19041]: Expected: -0.548141	Actual: -0.548141
